LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(micron/min),(micron),(min),(micron),(micron),(micron),
ID284578 → ID284798,64,284578,284798,0.5459853588224508,1.3998835532369407,0.36945411041915976,0.7389082208383195,147.0,24.8154689642026,5.516563283324199,0.0,
ID284989 → ID285021,64,284989,285021,0.3198744754433536,1.430173604199883,0.28278723249262583,0.5655744649852517,125.0,25.33516162289032,4.781921237004571,0.0,
ID273848 → ID273705,64,273848,273705,0.011235416003397718,0.9016625505238812,0.05299862263162534,0.10599724526325068,59.0,27.738271098994275,4.5129508332806445,0.0,
ID282340 → ID284552,64,282340,284552,0.003648041915404526,0.6891965722824532,0.030199511235301995,0.06039902247060399,123.0,27.59251767851601,1.4015537460611998,0.0,
ID273830 → ID273878,64,273830,273878,0.084252597271003,0.30851942928633164,0.14513148975239917,0.29026297950479835,17.0,26.88754297961865,9.58928883148253,0.0,
ID276935 → ID276796,64,276935,276796,0.07982656581667298,1.157587233770664,0.14126797745479422,0.28253595490958844,47.0,25.84585737635609,7.50706790972135,0.0,
ID283816 → ID284188,64,283816,284188,0.0044713534453583005,0.08814052402668801,0.03343408980875022,0.06686817961750044,141.0,26.459100352893124,1.8994898485878844,0.0,
ID283155 → ID283357,64,283155,283357,0.467725250841304,1.3513742376984241,0.3419522082255443,0.6839044164510886,133.0,25.189598849421102,5.241178645640385,0.0,
ID273761 → ID277569,64,273761,277569,0.007369384995678355,1.3826093425094523,0.04292256107130129,0.08584512214260258,23.0,26.861440972568214,8.750018428595467,0.0,
ID283509 → ID283746,64,283509,283746,0.008710368770857346,1.385004813410932,0.04666467821290892,0.09332935642581784,137.0,26.466706414201475,2.1571557710035596,0.0,
ID281100 → ID281674,64,281100,281674,0.021195228711995716,0.8479403332001488,0.07279290609667215,0.1455858121933443,99.0,26.995450031668,4.726751183496308,0.0,
ID281666 → ID282123,64,281666,282123,0.42001783368877044,0.5169572817923308,0.3240439143421654,0.6480878286843308,101.0,27.608137205525978,1.7785412079154748,0.0,
ID282168 → ID282642,64,282168,282642,0.017250964546947876,0.5084149746915442,0.06567146364089177,0.13134292728178354,105.0,27.54092514681248,1.9757949546570357,0.0,
ID274643 → ID273761,64,274643,273761,0.2635467021594745,0.0398128803239188,0.2566839993842012,0.5133679987684024,21.0,26.896550817204158,8.964502994744123,0.0,
ID275630 → ID273936,64,275630,273936,0.01015799027761733,0.9767014186609277,0.05039342783939522,0.10078685567879044,57.0,25.768257612230265,6.83362124127194,0.0,
ID281148 → ID282414,64,281148,282414,0.23592362256532273,1.248551119842837,0.24285984773389505,0.4857196954677901,113.0,26.60177893250315,4.197504290300121,0.0,
ID283501 → ID282573,64,283501,282573,0.24491702258914397,1.5533434776108135,0.2474454599447846,0.4948909198895692,109.0,27.488108532250035,1.4846495795646835,0.0,
ID282191 → ID282737,64,282191,282737,0.037969718466105584,0.43572006831119653,0.09742910046041889,0.19485820092083778,105.0,26.827119266836434,4.604673053321653,0.0,
ID286186 → ID286066,65,286186,286066,0.09169168014018364,0.3183457634872485,0.1514031704920538,0.3028063409841076,125.0,59.31643674539998,15.92307829917535,0.0,
ID285197 → ID285173,65,285197,285173,0.02028721560566435,1.1953668460492648,0.0712165984965309,0.1424331969930618,143.0,60.353266918424836,14.744799617637584,0.0,
ID278057 → ID280029,65,278057,280029,0.009127247297841218,1.5332688437769246,0.04776831402153842,0.09553662804307685,87.0,61.19774565056652,17.387088734864,0.0,
ID280420 → ID279509,65,280420,279509,0.20296348744169251,0.7865017229696408,0.22525734585230095,0.4505146917046019,91.0,61.355988198225184,17.096323162163618,0.0,
ID285658 → ID282517,65,285658,282517,0.01193998989680282,0.8349122286022503,0.05463513040343827,0.10927026080687655,121.0,61.885232836666106,14.56181433428647,0.0,
ID286106 → ID285969,65,286106,285969,0.7479489093568705,0.8618361061380071,0.4324201976541078,0.8648403953082155,125.0,62.264174617340935,14.297850813844239,0.0,
ID277463 → ID276317,65,277463,276317,1.0995109925543534,0.10676523958302515,0.5242878485513357,1.0485756971026714,27.0,60.437373838561996,18.84602590120037,0.0,
ID273975 → ID277580,65,273975,277580,0.0037629456665084636,1.4891705810027138,0.03067142671326386,0.06134285342652772,23.0,60.536555261631044,19.525343934895666,0.0,
ID277287 → ID273837,65,277287,273837,0.022573769847502853,0.04553576492854497,0.07512284913310806,0.15024569826621612,53.0,59.5182880595206,16.426228345084144,0.0,
ID282980 → ID284161,65,282980,284161,0.4595867374170404,1.3289946566969286,0.33896413431845573,0.6779282686369115,107.0,59.19255792670517,14.103177118789144,0.0,
ID278942 → ID279479,65,278942,279479,0.06030065716382529,1.1725123142253013,0.1227809606207588,0.2455619212415176,75.0,59.81800573980046,15.5479826234295,0.0,
ID279509 → ID279360,65,279509,279360,0.060460983078997596,0.0704747930217503,0.12294407578142755,0.2458881515628551,93.0,61.29832580723527,16.753730113363474,0.0,
